"admission_date","release_date","race","ethnicity","admission_status","charge","severity","bail_eligible"
2019-03-25,2019-05-23,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-25,2019-10-31,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-02,2019-04-05,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-10,2019-04-30,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-13,2019-05-18,"Black","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-05-15,2019-05-16,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-01-05,2020-02-12,"Black","Unknown","Other","VTL 0511","Non-Felony","Non-Eligible"
2019-03-17,2019-03-23,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-12,2019-06-14,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-08,2019-04-16,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-19,2019-05-31,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-19,2019-08-28,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-06,2019-09-07,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-11-12,2019-11-16,"Black","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-09-10,2019-09-12,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-12,2019-10-15,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-10,2019-07-10,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-11-18,2019-11-22,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-11-20,2019-11-23,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-11-25,2019-11-27,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
